simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
0,2000,True,20,linear_link,adaptive_lasso_tuned,1.0,1.0,0.0,0.0,True,[0.98693653 1.03256945]
0,2000,True,20,polynomial_link,boruta_selector,0.5,0.5,0.0,0.0,,
0,2000,True,20,polynomial_link,univariate_feature_selection,0.6,0.8,0.2,0.3333333333333333,True,[0.64123385 1.89744086]
0,2000,True,20,polynomial_link,lasso_feature_selection,0.8,1.2,0.4,0.5,True,[0.59946592 1.85288752]
0,2000,True,20,polynomial_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.64471778 1.53740686]
0,2000,True,20,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.94873895 1.0958309 ]
0,2000,True,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.94873895 1.0958309 ]
0,2000,True,20,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.94873895 1.0958309 ]
0,2000,True,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.94747731 1.04900173]
0,2000,True,80,linear_link,boruta_selector,0.7,0.9,0.2,0.2857142857142857,True,[0.94452809 1.00619569]
0,2000,True,80,linear_link,univariate_feature_selection,0.8,1.4,0.6,0.75,True,[0.94421544 1.00456748]
0,2000,True,80,linear_link,lasso_feature_selection,0.9,1.3,0.4,0.4444444444444444,True,[0.94302932 1.00304494]
0,2000,True,80,linear_link,adaptive_lasso_tuned,0.9,0.9,0.0,0.0,False,[0.95288761 0.99608843]
0,2000,True,80,polynomial_link,boruta_selector,0.5,0.8,0.3,0.6,,
0,2000,True,80,polynomial_link,univariate_feature_selection,0.3,0.3,0.0,0.0,,
0,2000,True,80,polynomial_link,lasso_feature_selection,0.6,1.3,0.7,1.1666666666666667,True,[0.15456803 1.47557375]
0,2000,True,80,polynomial_link,adaptive_lasso_tuned,0.4,0.5,0.1,0.25,False,[-0.0580321  0.8354443]
0,2000,True,80,sine_link,boruta_selector,0.1,0.3,0.2,2.0,True,[0.88227783 1.02047191]
0,2000,True,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.8825857  1.02064295]
0,2000,True,80,sine_link,lasso_feature_selection,0.3,0.4,0.1,0.3333333333333333,True,[0.88500879 1.02309131]
