simulation_id,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage
0,boruta_selector,0.14285714285714285,0.14285714285714285,0.0,0.0,0.45454545454545453
0,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.9310344827586207
0,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
0,adaptive_lasso_tuned,0.922077922077922,0.922077922077922,0.0,0.0,0.8450704225352113
1,boruta_selector,0.10526315789473684,0.10526315789473684,0.0,0.0,0.375
1,univariate_feature_selection,1.0,1.144736842105263,0.14473684210526316,0.14473684210526316,0.9655172413793104
1,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
1,adaptive_lasso_tuned,0.8947368421052632,0.8947368421052632,0.0,0.0,0.7205882352941176
2,boruta_selector,0.14864864864864866,0.14864864864864866,0.0,0.0,0.36363636363636365
2,univariate_feature_selection,0.972972972972973,1.162162162162162,0.1891891891891892,0.19444444444444445,0.8837209302325582
2,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
2,adaptive_lasso_tuned,0.9324324324324325,0.9324324324324325,0.0,0.0,0.6956521739130435
3,boruta_selector,0.1506849315068493,0.1643835616438356,0.0136986301369863,0.09090909090909091,0.25
3,univariate_feature_selection,0.9863013698630136,1.1917808219178083,0.2054794520547945,0.20833333333333334,0.9425287356321839
3,lasso_feature_selection,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.5,0.0
3,adaptive_lasso_tuned,0.9863013698630136,0.9863013698630136,0.0,0.0,0.875
4,boruta_selector,0.0945945945945946,0.12162162162162163,0.02702702702702703,0.2857142857142857,0.2222222222222222
4,univariate_feature_selection,1.0,1.1756756756756757,0.17567567567567569,0.17567567567567569,0.9425287356321839
4,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
4,adaptive_lasso_tuned,0.9594594594594594,0.9594594594594594,0.0,0.0,0.8591549295774648
5,boruta_selector,0.0945945945945946,0.0945945945945946,0.0,0.0,0.0
5,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.9655172413793104
5,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
5,adaptive_lasso_tuned,0.9594594594594594,0.9594594594594594,0.0,0.0,0.8591549295774648
6,boruta_selector,0.136986301369863,0.1506849315068493,0.0136986301369863,0.1,0.36363636363636365
6,univariate_feature_selection,0.9863013698630136,1.1917808219178083,0.2054794520547945,0.20833333333333334,0.8045977011494253
6,lasso_feature_selection,0.0136986301369863,0.0547945205479452,0.0410958904109589,3.0,0.25
6,adaptive_lasso_tuned,0.9452054794520548,0.9452054794520548,0.0,0.0,0.8840579710144928
7,boruta_selector,0.1038961038961039,0.1038961038961039,0.0,0.0,0.25
7,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.735632183908046
7,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
7,adaptive_lasso_tuned,0.948051948051948,0.948051948051948,0.0,0.0,0.7671232876712328
8,boruta_selector,0.07692307692307693,0.08974358974358974,0.01282051282051282,0.16666666666666666,0.2857142857142857
8,univariate_feature_selection,0.9871794871794872,1.1153846153846154,0.1282051282051282,0.12987012987012986,0.9195402298850575
8,lasso_feature_selection,0.02564102564102564,0.038461538461538464,0.01282051282051282,0.5,0.0
8,adaptive_lasso_tuned,0.9871794871794872,1.0,0.01282051282051282,0.012987012987012988,0.8589743589743589
9,boruta_selector,0.11688311688311688,0.12987012987012986,0.012987012987012988,0.1111111111111111,0.2
9,univariate_feature_selection,1.0,1.12987012987013,0.12987012987012986,0.12987012987012986,0.9425287356321839
9,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
9,adaptive_lasso_tuned,0.987012987012987,1.0,0.012987012987012988,0.013157894736842105,0.8961038961038961
10,boruta_selector,0.16216216216216217,0.17567567567567569,0.013513513513513514,0.08333333333333333,0.46153846153846156
10,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.8735632183908046
10,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
10,adaptive_lasso_tuned,0.8918918918918919,0.8918918918918919,0.0,0.0,0.7575757575757576
11,boruta_selector,0.14864864864864866,0.14864864864864866,0.0,0.0,0.5454545454545454
11,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.8735632183908046
11,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
11,adaptive_lasso_tuned,0.9459459459459459,0.9459459459459459,0.0,0.0,0.8
12,boruta_selector,0.09210526315789473,0.10526315789473684,0.013157894736842105,0.14285714285714285,0.25
12,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.9080459770114943
12,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
12,adaptive_lasso_tuned,0.9473684210526315,0.9473684210526315,0.0,0.0,0.8472222222222222
13,boruta_selector,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2857142857142857
13,univariate_feature_selection,1.0,1.12987012987013,0.12987012987012986,0.12987012987012986,0.9425287356321839
13,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
13,adaptive_lasso_tuned,0.948051948051948,0.948051948051948,0.0,0.0,0.821917808219178
14,boruta_selector,0.10666666666666667,0.10666666666666667,0.0,0.0,0.25
14,univariate_feature_selection,0.9333333333333333,1.0933333333333333,0.16,0.17142857142857143,0.7195121951219512
14,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
14,adaptive_lasso_tuned,0.9466666666666667,0.9466666666666667,0.0,0.0,0.7746478873239436
15,boruta_selector,0.1125,0.1125,0.0,0.0,0.5555555555555556
15,univariate_feature_selection,1.0,1.0875,0.0875,0.0875,0.9770114942528736
15,lasso_feature_selection,0.025,0.0375,0.0125,0.5,0.0
15,adaptive_lasso_tuned,0.9625,0.9625,0.0,0.0,0.8961038961038961
16,boruta_selector,0.09090909090909091,0.1038961038961039,0.012987012987012988,0.14285714285714285,0.375
16,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.8620689655172413
16,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.3333333333333333
16,adaptive_lasso_tuned,0.961038961038961,0.961038961038961,0.0,0.0,0.8648648648648649
17,boruta_selector,0.12162162162162163,0.12162162162162163,0.0,0.0,0.4444444444444444
17,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.7701149425287356
17,lasso_feature_selection,0.013513513513513514,0.04054054054054054,0.02702702702702703,2.0,0.0
17,adaptive_lasso_tuned,0.972972972972973,0.972972972972973,0.0,0.0,0.875
18,boruta_selector,0.14473684210526316,0.15789473684210525,0.013157894736842105,0.09090909090909091,0.5
18,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.9080459770114943
18,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
18,adaptive_lasso_tuned,0.9210526315789473,0.9210526315789473,0.0,0.0,0.6571428571428571
19,boruta_selector,0.13333333333333333,0.14666666666666667,0.013333333333333334,0.1,0.45454545454545453
19,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.9425287356321839
19,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
19,adaptive_lasso_tuned,0.92,0.92,0.0,0.0,0.6811594202898551
20,boruta_selector,0.11688311688311688,0.12987012987012986,0.012987012987012988,0.1111111111111111,0.4
20,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.9310344827586207
20,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
20,adaptive_lasso_tuned,0.987012987012987,0.987012987012987,0.0,0.0,0.8947368421052632
21,boruta_selector,0.1038961038961039,0.11688311688311688,0.012987012987012988,0.125,0.3333333333333333
21,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.6896551724137931
21,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
21,adaptive_lasso_tuned,0.987012987012987,1.0,0.012987012987012988,0.013157894736842105,0.8311688311688312
22,boruta_selector,0.18181818181818182,0.19480519480519481,0.012987012987012988,0.07142857142857142,0.3333333333333333
22,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.7931034482758621
