n,p,method,sim_number_0,sim_number_1,sim_number_2,sim_number_3,sim_number_4,sim_number_5,sim_number_6,sim_number_7,sim_number_8,sim_number_9,sim_number_10,sim_number_11,sim_number_12,sim_number_13,sim_number_14,sim_number_15,sim_number_16,sim_number_17,sim_number_18,sim_number_19,sim_number_20,sim_number_21,sim_number_22,sim_number_23,sim_number_24,sim_number_25,sim_number_26,sim_number_27,sim_number_28,sim_number_29,sim_number_30,sim_number_31,sim_number_32,sim_number_33,sim_number_34,sim_number_35,sim_number_36,sim_number_37,sim_number_38,sim_number_39,sim_number_40,sim_number_41,sim_number_42,sim_number_43,sim_number_44,sim_number_45,sim_number_46,sim_number_47,sim_number_48,sim_number_49,mean
2000,20,naive_lasso,8.801411264999842,8.206213706000199,8.281541709999146,8.27230375200088,8.319389703003253,8.150907446997735,8.100811390999297,8.14412293499845,8.186652256001253,8.112373430001753,8.19525226100086,8.110804793999705,8.190861343999131,8.088851363998401,8.189923361998808,8.027581616999669,8.201067125999543,8.129160190997936,8.131561843998497,8.028983317999518,8.157104245998198,8.208236423997732,8.087906249998923,8.174875111999427,8.148835501000576,8.149539117999666,8.088946748001035,8.282239113999822,8.074268533000577,8.502764504999504,8.205354107001767,8.127291534001415,8.154234855999675,8.251019228999212,8.154087225000694,8.374725493998994,8.140016591001768,8.228572714997426,8.988448135001818,9.429721611999412,9.05892190799932,8.627658179997525,9.031028515000799,8.807595606001996,9.024132520000421,8.996667813000386,8.113286366002285,8.123154875000182,8.146001957000408,8.170787596998707,8.30807726402028
2000,20,eps_thresh_lasso,0.6230847390015697,0.5681992649988388,0.5585841209995124,0.5751006760001474,0.5726511479988403,0.5435967939993134,0.5649273480012198,0.5718837799977337,0.5803213409999444,0.5754107590000785,0.5761837380014185,0.5447505650008679,0.6052390660006495,0.5660087899996142,0.5444029780010169,0.5668782249995274,0.5724394340031722,0.5868171959991741,0.582354887999827,0.567387923001661,0.5632216689991765,0.5659649799999897,0.5546517639995727,0.5574476170004345,0.5865903970006912,0.5583469650009647,0.5686009109995211,0.5685954379987379,0.5825819920028152,0.5974200550008391,0.5740477340004873,0.5469386660006421,0.5610678600023675,0.5742914379989088,0.5611294529990118,0.5575637500005541,0.5475359730007767,0.5687783479988866,0.6319951160003257,0.6055207019999216,0.5950545730011072,0.6545261450010003,0.6684867879994272,0.615637742997933,0.6140509829965595,0.6044408320012735,0.5399821819992212,0.5469952769999509,0.5691786110000976,0.601641794997704,0.5768453835102338
2000,20,eps_thresh_lasso_warm_start,0.449429036998481,0.44579529800103046,0.4212526449991856,0.4038879159998032,0.41562755099948845,0.41137189399887575,0.40013317099874257,0.42388442900119117,0.3860380480000458,0.41829590699853725,0.421761317000346,0.4440266330020677,0.41359303100034595,0.42112690399881103,0.4400489540021226,0.42044949300179724,0.4302649860001111,0.4301121799981047,0.4215388199991139,0.4112637559992436,0.41299730600076145,0.41455776899965713,0.41644933899806347,0.4081162709990167,0.412524310999288,0.4115306450003118,0.39914619800038054,0.44095056199876126,0.43006720800258336,0.41309716399700847,0.43551322699931916,0.4309345490000851,0.40497789700020803,0.40552331499930006,0.4150481690012384,0.4457412350020604,0.39957219399730093,0.4178132540000661,0.42644171600113623,0.4980361189991527,0.4252067919987894,0.45528284600004554,0.5093717749987263,0.46007854100025725,0.46408297100060736,0.42271648600217304,0.44440114399913,0.3959924039991165,0.41654212299908977,0.4260018629975093,0.4252895576732675
2000,20,active_set_lasso,0.38241488200037566,0.3677490950012725,0.356578699000238,0.3676655599992955,0.36989643899869407,0.3626710999997158,0.37129772099797265,0.37506569600009243,0.35850228699928266,0.3483493880012247,0.36985504000040237,0.3659974360016349,0.3604570209972735,0.36350983800002723,0.37102824799876544,0.34273940500133904,0.35890871599985985,0.34914785499859136,0.3562379869981669,0.35344961900045746,0.3529339090018766,0.355296425997949,0.36124086899872054,0.35869768500197097,0.3416038569994271,0.35257362199990894,0.3593331330012006,0.35184816000037245,0.3412469830000191,0.34843300200009253,0.3542483410019486,0.35700069300219184,0.35237850900011836,0.3560799879996921,0.3521192209991568,0.3569946970019373,0.35971536500073853,0.34215971900266595,0.40434428099979414,0.4389110490010353,0.3864140520017827,0.3831412569998065,0.40093090500158723,0.3839792809994833,0.37338493000061135,0.37568168199868524,0.3474245779980265,0.3486215529992478,0.3550443469976017,0.35347711500071455,0.36274217059189123
2000,20,lasso_numba,0.09437260599952424,0.16756154200083984,0.15281699399929494,0.09654370299904258,0.08819894599946565,0.08923965100257192,0.16908160199818667,0.09462681800141581,0.1485038649989292,0.13585159300055238,0.0899190220006858,0.13162560599812423,0.09032068499800516,0.08333406300153001,0.13477198900000076,0.09703764699952444,0.09121889599919086,0.132632578999619,0.12618534400098724,0.08914929999809829,0.1552499759964121,0.1335667699968326,0.08485852399826399,0.08401934100038488,0.16397926500212634,0.08510025199939264,0.08608544599701418,0.09845028500058106,0.0847519149974687,0.08370287900106632,0.08163361400147551,0.1376630289996683,0.08346942400021362,0.08422619300108636,0.08501597099893843,0.1929134530000738,0.0912163060020248,0.08215604699944379,0.09763198899963754,0.20870914199986146,0.08901619400057825,0.10860399399825837,0.10200733999954537,0.09160175700162654,0.1401349490006396,0.15286340300008305,0.08758179099822883,0.08717830300156493,0.12694587299847626,0.08957591199941817,0.11201079963237655
2000,20,sk_learn_lasso,0.05443489199933538,0.052440908999415115,0.0515106860002561,0.05199830600031419,0.0519468450002023,0.05286527100179228,0.0520766250010638,0.05243415199947776,0.05188813800123171,0.05193380100172362,0.05281391799871926,0.052176529999997,0.051935489998868434,0.052677259998745285,0.0553668739994464,0.05211324199990486,0.0519626019995485,0.051771991998975864,0.05192010999962804,0.05159275299956789,0.051496790001692716,0.054532350000954466,0.05176039599973592,0.051864780001778854,0.05214210000121966,0.052178707999701146,0.052195560001564445,0.051704459998290986,0.055846257997473,0.05223712600127328,0.05530416600231547,0.05191631599882385,0.05193463300020085,0.05196014800094417,0.05217445300149848,0.10302216400305042,0.0523330989999522,0.053205590000288794,0.05287961399881169,0.08991752600195468,0.05264752400034922,0.05234542299876921,0.05182398400211241,0.05338087899872335,0.05293715999869164,0.05557731799854082,0.05166657799782115,0.05188347600051202,0.051974743997561745,0.05192025300129899,0.05428957306132212
50,50,naive_lasso,6.386907108000742,6.25250484299977,6.102647485999114,6.133291254001961,6.0787081660018885,6.36361677700188,6.34805677300028,6.282816767998156,6.31039785500252,6.341492471998208,6.37689149900325,6.343249473000469,6.372168531997886,6.347836824999831,6.173631245997967,6.134808258000703,6.481396065999434,6.3741032969992375,6.4503155530001095,6.400556761000189,6.503772656000365,6.458158276996983,6.42545996699846,6.4544086739988416,6.452876233001007,6.472006515999965,6.430235571999219,6.4793927050013735,6.460590037000657,6.505876952000108,6.377276313996845,6.400820032999036,6.4051850859978,6.483056901000964,6.449956595999538,6.157443992997287,6.313125450000371,6.299199036999198,6.3276336250019085,6.480775337000523,6.569251256001735,6.4081612570007564,6.586291894996975,6.563385534002009,6.333100032999937,6.413944605999859,6.441766341999028,6.422971159998269,6.317510346001654,6.50355870400017,6.378891448938647
50,50,eps_thresh_lasso,5.458680802999879,5.297872477000055,5.881657421999989,5.5391816919982375,5.670639568998013,5.759562514998834,5.667998216998967,4.9710282369997,5.59732630399958,5.292482729000767,5.542184228001133,5.975267556001199,5.801487910001015,5.8186742210018565,6.256104893000156,5.751437453000108,6.135989115002303,5.871850119001465,6.078641778000019,5.709097355000267,5.769293699999253,5.433887438997772,6.190406940000685,5.400037285999133,5.42746152700056,5.644289539002784,6.17143561299963,5.988564631999907,5.796424346001004,6.132716260999587,5.866925818998425,5.8321566409977095,6.000849473999551,5.477538117000222,6.212745744000131,5.69496479100053,5.524838748999173,5.918145563999133,5.853061563000665,6.347746406001534,6.209416884001257,5.987053535998712,6.006304119000561,5.750586146001297,5.645887961003609,5.886170088000654,5.929392403999373,6.1003828549983155,5.483769440001197,6.261730481997802,5.807401384816405
50,50,eps_thresh_lasso_warm_start,5.313279735999458,4.999161654999625,5.588466014000005,5.056689568002184,5.491133906001778,5.6595857860011165,5.95363692400133,5.628786035002122,6.030612893999205,4.877529787001549,5.546544449000066,5.824401298999874,5.820577870999841,5.559495393998077,4.918415702999482,5.660458287002257,5.852401269999973,5.805224324001756,5.529855631000828,6.0368125079985475,5.557570023996959,5.194323547999375,5.523438610001904,5.458292863000679,6.1064705019998655,5.916259214998718,5.554693770001904,5.486936935001722,5.366539678998379,5.573893242999475,5.4825325929996325,5.428443362001417,5.3944268859995645,5.465013334000105,5.70616781499848,5.103478279001138,5.570882060997974,5.712279049999779,5.599319320997893,5.311074929002643,5.670129532998544,6.1605453939992,5.577983335999306,5.552518037999107,5.588757056997565,5.656700218001788,5.1778838869977335,5.882016168001428,5.519300332998682,5.637334617000306,5.56683661030614
50,50,active_set_lasso,4.166840476000289,3.7186459679996915,3.5310247840006923,3.5527333869977156,3.5524682190007297,3.593111885998951,3.3861519800011592,3.8296228170001996,3.9692785719998938,3.914039272996888,3.6078472410008544,3.705341281998699,3.5785917280009016,3.5649603350029793,3.885056719998829,3.6737147599997115,4.159083768998244,3.79712167499747,3.7991420360012853,3.9525899840009515,4.142934499002877,4.214218483000877,3.768279193001945,3.9270422529989446,3.9590122579975286,4.237822479000897,3.858166309000808,3.772371712999302,3.582352057001117,4.1145540949983115,3.960214750997693,3.83855921400027,4.094896722999692,3.972497984999791,3.687535824999941,3.5595312800032843,3.9757141420013795,3.6232256689982023,3.928533045000222,4.138338435997866,3.970326409998961,3.941888741999719,3.7291861010016873,3.7804944919989794,4.563339123000333,3.9759008020009787,3.808631672000047,4.029007443998125,3.913918042999285,3.3921710570029973,3.8414528716530185
